id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
42669,Maurice Greene,M,26.0,176.0,80.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
42669,Maurice Greene,M,30.0,176.0,80.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,Bronze
42669,Maurice Greene,M,30.0,176.0,80.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
42672,"Pamela D. ""Pam"" Greene",F,18.0,170.0,55.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 200 metres,
42673,Paul Haydon Greene,M,23.0,184.0,78.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,
42673,Paul Haydon Greene,M,23.0,184.0,78.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,
42677,George Howard Greenfield,M,24.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Individual All-Around,
42677,George Howard Greenfield,M,24.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Team All-Around,
42677,George Howard Greenfield,M,24.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Floor Exercise,
42677,George Howard Greenfield,M,24.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horse Vault,
42677,George Howard Greenfield,M,24.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Parallel Bars,
42677,George Howard Greenfield,M,24.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horizontal Bar,
42677,George Howard Greenfield,M,24.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Rings,
42677,George Howard Greenfield,M,24.0,170.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Pommelled Horse,
42695,Edward Ray Breaux Greer,M,23.0,188.0,102.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Javelin Throw,
42695,Edward Ray Breaux Greer,M,27.0,188.0,102.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Javelin Throw,
42695,Edward Ray Breaux Greer,M,31.0,188.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,
42708,"Steven Garrett ""Steve"" Gregg",M,20.0,193.0,84.0,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Butterfly,Silver
42720,Horst-Gnter Gregor,M,26.0,189.0,70.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
42720,Horst-Gnter Gregor,M,26.0,189.0,70.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
42723,John Stanley Gregorek,M,24.0,185.0,75.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 3,000 metres Steeplechase",
42726,Jadel Abdul Ghani Gregrio,M,23.0,202.0,102.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,
42726,Jadel Abdul Ghani Gregrio,M,23.0,202.0,102.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump,
42726,Jadel Abdul Ghani Gregrio,M,27.0,202.0,102.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,
42739,"Louis Paul ""Lou"" Gregory",M,30.0,175.0,66.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",
42744,Ryan Gregson,M,22.0,184.0,73.0,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",
42744,Ryan Gregson,M,26.0,184.0,73.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",
42751,"Cynthia C. ""Cindy"" Greiner (Suggs-)",F,27.0,175.0,62.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,
42751,"Cynthia C. ""Cindy"" Greiner (Suggs-)",F,31.0,175.0,62.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,
42751,"Cynthia C. ""Cindy"" Greiner (Suggs-)",F,35.0,175.0,62.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,
