id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
49105,Max Hoff,M,33.0,197.0,95.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
49105,Max Hoff,M,33.0,197.0,95.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
49153,Lara Hoffmann,F,25.0,173.0,68.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,
49221,"Margaret ""Maggie"" Hogan",F,37.0,170.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",
49221,"Margaret ""Maggie"" Hogan",F,37.0,170.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",
49371,Lewis Holland,M,23.0,183.0,87.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,
49379,"Victoria Frances ""Vicky"" Holland",F,30.0,168.0,56.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,Bronze
49398,Tanya Holliday,F,27.0,167.0,52.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,
49497,Katharine Holmes,F,23.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",
49497,Katharine Holmes,F,23.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",
49581,"Maxwell Philip ""Max"" Holt",M,29.0,208.0,90.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze
49626,Raphael Marcel Holzdeppe,M,26.0,183.0,78.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,
49661,Daryl Homer,M,26.0,173.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",Silver
49743,Hong Wei,M,26.0,192.0,86.0,China-2,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,
49748,Hong Yoo-Jin,F,27.0,166.0,65.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
49881,Tamara Horacek,F,20.0,179.0,80.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
49891,Lindsey Michelle Horan,F,22.0,175.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
49908,Kerry Hore,F,35.0,183.0,74.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,
49964,Timo Horn,M,23.0,191.0,76.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Silver
49991,Bjrn Hornikel,M,24.0,192.0,91.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,
49991,Bjrn Hornikel,M,24.0,192.0,91.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
